epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6619,2.89144,2.54111,1.98279,0.67276,0.48467,0.60103,0.25196,1.91624,1.84185,1.47918,0.067375,0.000329545,0.000329545
2,28.3382,2.00645,1.41728,1.40638,0.79286,0.70805,0.80432,0.40549,1.67156,1.15802,1.33276,0.0343619,0.000649754,0.000649754
3,39.4674,1.78569,1.18273,1.30304,0.82949,0.75419,0.84988,0.44189,1.62461,1.02762,1.30917,0.00133555,0.000956762,0.000956762
4,50.3337,1.66644,1.0716,1.24042,0.85216,0.79924,0.88114,0.49757,1.43127,0.95557,1.20292,0.0009406,0.0009406,0.0009406
5,61.1808,1.58858,1.01574,1.20057,0.86697,0.82011,0.90128,0.506,1.42936,0.93797,1.18521,0.0009208,0.0009208,0.0009208
6,72.1312,1.52839,0.98411,1.1781,0.87882,0.83591,0.91177,0.53137,1.3406,0.89243,1.15268,0.000901,0.000901,0.000901
7,82.9924,1.48927,0.96383,1.1704,0.89325,0.83992,0.91816,0.52958,1.37296,0.89611,1.15866,0.0008812,0.0008812,0.0008812
8,93.7836,1.45827,0.94298,1.13561,0.89999,0.84276,0.92379,0.5446,1.3285,0.87334,1.13892,0.0008614,0.0008614,0.0008614
9,104.566,1.42798,0.92661,1.13053,0.90964,0.84898,0.93044,0.5567,1.28322,0.85895,1.12242,0.0008416,0.0008416,0.0008416
10,115.387,1.41501,0.92185,1.12493,0.91635,0.86122,0.93572,0.55536,1.2866,0.86015,1.12588,0.0008218,0.0008218,0.0008218
11,126.165,1.39287,0.89843,1.10945,0.91269,0.86136,0.93593,0.55861,1.29731,0.85664,1.12103,0.000802,0.000802,0.000802
12,137.145,1.40429,0.90001,1.11154,0.91127,0.86937,0.93839,0.55813,1.28882,0.85862,1.11751,0.0007822,0.0007822,0.0007822
13,148.066,1.37773,0.88422,1.09568,0.92364,0.87163,0.94208,0.57207,1.25525,0.81915,1.11074,0.0007624,0.0007624,0.0007624
14,159.234,1.3782,0.88444,1.10666,0.91864,0.87527,0.94041,0.56055,1.30997,0.82997,1.12358,0.0007426,0.0007426,0.0007426
15,170.145,1.36577,0.87124,1.09571,0.91668,0.8792,0.94054,0.55102,1.36587,0.83548,1.14107,0.0007228,0.0007228,0.0007228
16,180.832,1.3599,0.87832,1.09676,0.92994,0.87697,0.9445,0.57333,1.24992,0.81943,1.10504,0.000703,0.000703,0.000703
17,191.531,1.35674,0.86735,1.08891,0.92651,0.88101,0.94473,0.57237,1.24498,0.82671,1.10061,0.0006832,0.0006832,0.0006832
18,202.289,1.36375,0.86299,1.08986,0.93455,0.8801,0.94551,0.5726,1.27145,0.81269,1.10749,0.0006634,0.0006634,0.0006634
19,213.095,1.34149,0.85744,1.08068,0.93005,0.88616,0.94731,0.5767,1.24914,0.81053,1.10094,0.0006436,0.0006436,0.0006436
20,223.991,1.34517,0.85954,1.08712,0.94093,0.87446,0.94631,0.57199,1.26426,0.79882,1.10647,0.0006238,0.0006238,0.0006238
21,234.724,1.33344,0.85299,1.08267,0.92793,0.88854,0.94783,0.58347,1.2249,0.8064,1.09561,0.000604,0.000604,0.000604
22,245.433,1.31822,0.8483,1.07656,0.93563,0.88207,0.94738,0.57684,1.26388,0.79212,1.10348,0.0005842,0.0005842,0.0005842
23,256.109,1.32007,0.8504,1.07837,0.93806,0.88927,0.94988,0.5797,1.23877,0.80083,1.09654,0.0005644,0.0005644,0.0005644
24,266.533,1.32786,0.83943,1.07535,0.93342,0.88787,0.94764,0.57417,1.2821,0.78737,1.10829,0.0005446,0.0005446,0.0005446
25,277.058,1.30712,0.84457,1.08067,0.93439,0.89096,0.95029,0.58129,1.24313,0.79992,1.09497,0.0005248,0.0005248,0.0005248
26,287.823,1.31739,0.83848,1.06782,0.93282,0.88948,0.94891,0.57218,1.28274,0.79579,1.10623,0.000505,0.000505,0.000505
27,298.485,1.30929,0.83689,1.06926,0.93381,0.89452,0.94954,0.58497,1.22635,0.79237,1.08956,0.0004852,0.0004852,0.0004852
28,309.206,1.30651,0.83154,1.07221,0.93609,0.89549,0.95146,0.58092,1.25071,0.78789,1.095,0.0004654,0.0004654,0.0004654
29,319.723,1.29597,0.83042,1.06186,0.93671,0.89274,0.95045,0.58655,1.21885,0.7804,1.08762,0.0004456,0.0004456,0.0004456
30,330.163,1.30609,0.83727,1.06798,0.93521,0.89234,0.95045,0.58571,1.23685,0.77656,1.09105,0.0004258,0.0004258,0.0004258
31,340.684,1.29969,0.83129,1.06303,0.93739,0.89339,0.95117,0.58529,1.23288,0.78781,1.08823,0.000406,0.000406,0.000406
32,351.21,1.29408,0.82637,1.06191,0.94022,0.89555,0.95243,0.58585,1.23106,0.7838,1.08735,0.0003862,0.0003862,0.0003862
33,361.585,1.29068,0.82392,1.06134,0.9399,0.89355,0.95197,0.58738,1.22507,0.78166,1.08749,0.0003664,0.0003664,0.0003664
34,372.085,1.28874,0.82805,1.06219,0.94011,0.89792,0.95304,0.5919,1.2124,0.77117,1.08592,0.0003466,0.0003466,0.0003466
35,382.592,1.28325,0.82173,1.06046,0.94054,0.89897,0.95227,0.5818,1.25682,0.78377,1.09299,0.0003268,0.0003268,0.0003268
36,392.933,1.27828,0.82262,1.06501,0.94084,0.89938,0.9534,0.59182,1.2093,0.77822,1.08122,0.000307,0.000307,0.000307
37,403.352,1.28412,0.81936,1.05983,0.93773,0.89752,0.95338,0.58772,1.23599,0.77143,1.08717,0.0002872,0.0002872,0.0002872
38,413.872,1.28382,0.81764,1.05674,0.93779,0.89984,0.95338,0.59064,1.21316,0.77347,1.08222,0.0002674,0.0002674,0.0002674
39,424.385,1.27599,0.82211,1.06017,0.93828,0.90172,0.95317,0.58901,1.21757,0.78441,1.08105,0.0002476,0.0002476,0.0002476
40,434.795,1.28602,0.82275,1.05914,0.93979,0.90025,0.9533,0.58911,1.2237,0.77466,1.08175,0.0002278,0.0002278,0.0002278
41,446.575,1.26243,0.8566,1.11261,0.92576,0.90478,0.94928,0.58142,1.2449,0.81042,1.08459,0.000208,0.000208,0.000208
42,456.804,1.25171,0.83053,1.0998,0.93472,0.90455,0.95141,0.58455,1.22555,0.81204,1.07648,0.0001882,0.0001882,0.0001882
43,467.072,1.24612,0.82147,1.09966,0.94087,0.90253,0.95317,0.59065,1.2108,0.79592,1.07294,0.0001684,0.0001684,0.0001684
44,477.363,1.23973,0.81855,1.10552,0.94015,0.90059,0.95351,0.59122,1.2051,0.79458,1.07124,0.0001486,0.0001486,0.0001486
45,487.53,1.232,0.81686,1.09952,0.93835,0.90342,0.95355,0.58975,1.21256,0.7896,1.07378,0.0001288,0.0001288,0.0001288
46,497.74,1.23718,0.81711,1.09005,0.93958,0.90399,0.95441,0.58846,1.21925,0.79141,1.0751,0.000109,0.000109,0.000109
47,508.113,1.22791,0.81075,1.09315,0.93812,0.90269,0.95448,0.58905,1.21395,0.7912,1.07419,8.92e-05,8.92e-05,8.92e-05
48,518.197,1.22932,0.81597,1.09675,0.94134,0.90294,0.95467,0.59153,1.20644,0.78599,1.07166,6.94e-05,6.94e-05,6.94e-05
49,528.55,1.23,0.8094,1.09591,0.94357,0.90073,0.95498,0.59414,1.20038,0.77891,1.07125,4.96e-05,4.96e-05,4.96e-05
50,539.085,1.22655,0.81086,1.08997,0.94212,0.90358,0.95487,0.5928,1.20222,0.78538,1.07063,2.98e-05,2.98e-05,2.98e-05
